"Name","Version","Purl","License"
"@svgr/babel-plugin-transform-react-native-svg","5.4.0","pkg:npm/@svgr/babel-plugin-transform-react-native-svg@5.4.0","MIT"
"@svgr/babel-plugin-transform-svg-component","5.5.0","pkg:npm/@svgr/babel-plugin-transform-svg-component@5.5.0","MIT"
"@svgr/babel-preset","5.5.0","pkg:npm/@svgr/babel-preset@5.5.0","MIT"
"@svgr/core","5.5.0","pkg:npm/@svgr/core@5.5.0","MIT"
"@svgr/hast-util-to-babel-ast","5.5.0","pkg:npm/@svgr/hast-util-to-babel-ast@5.5.0","MIT"
"@svgr/plugin-jsx","5.5.0","pkg:npm/@svgr/plugin-jsx@5.5.0","MIT"
"@svgr/plugin-svgo","5.5.0","pkg:npm/@svgr/plugin-svgo@5.5.0","MIT"
"@svgr/webpack","5.5.0","pkg:npm/@svgr/webpack@5.5.0","MIT"
"@tootallnate/once","1.1.2","pkg:npm/@tootallnate/once@1.1.2","MIT"
"@trysound/sax","0.2.0","pkg:npm/@trysound/sax@0.2.0","ISC"
"@types/babel__core","7.20.5","pkg:npm/@types/babel__core@7.20.5","MIT"
"@types/babel__generator","7.27.0","pkg:npm/@types/babel__generator@7.27.0","MIT"
"@types/babel__template","7.4.4","pkg:npm/@types/babel__template@7.4.4","MIT"
"@types/babel__traverse","7.28.0","pkg:npm/@types/babel__traverse@7.28.0","MIT"
"@types/body-parser","1.19.6","pkg:npm/@types/body-parser@1.19.6","MIT"
"@types/bonjour","3.5.13","pkg:npm/@types/bonjour@3.5.13","MIT"
"@types/connect","3.4.38","pkg:npm/@types/connect@3.4.38","MIT"
"@types/connect-history-api-fallback","1.5.4","pkg:npm/@types/connect-history-api-fallback@1.5.4","MIT"
"@types/eslint","8.56.12","pkg:npm/@types/eslint@8.56.12","MIT"
